Sample,Rep,Set,Concentration_mg_berry,Antho_type,Antho_short_name,treatment
B2R1,1,1st point,0.011972156,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2
B2R1,2,1st point,0.012381957,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2
B2R1,3,1st point,0.012469833,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2
B2R2,1,Harvest,0.042405145,Delphinidin-3-glucoside,D3G,2
B2R2,2,Harvest,0.037070009,Delphinidin-3-glucoside,D3G,2
B2R2,3,Harvest,0.040508105,Delphinidin-3-glucoside,D3G,2
B2R2,1,1st point,0.032135115,Delphinidin-3-glucoside,D3G,2
B2R2,2,1st point,0.02950375,Delphinidin-3-glucoside,D3G,2
B2R2,3,1st point,0.023859031,Delphinidin-3-glucoside,D3G,2
B2R2,1,Harvest,0.008231076,Cyanindin-3-glucoside,C3G,2
B2R2,2,Harvest,0.006585333,Cyanindin-3-glucoside,C3G,2
B2R2,3,Harvest,0.008175413,Cyanindin-3-glucoside,C3G,2
B2R2,1,1st point,0.009334414,Cyanindin-3-glucoside,C3G,2
B2R2,2,1st point,0.008162212,Cyanindin-3-glucoside,C3G,2
B2R2,3,1st point,0.007143074,Cyanindin-3-glucoside,C3G,2
B2R2,1,Harvest,0.033297226,Petunidin-3-glucoside,Pet3G,2
B2R2,2,Harvest,0.029482097,Petunidin-3-glucoside,Pet3G,2
B2R2,3,Harvest,0.031476196,Petunidin-3-glucoside,Pet3G,2
B2R2,1,1st point,0.023232652,Petunidin-3-glucoside,Pet3G,2
B2R2,2,1st point,0.021411376,Petunidin-3-glucoside,Pet3G,2
B2R2,3,1st point,0.018551163,Petunidin-3-glucoside,Pet3G,2
B2R2,1,Harvest,0.036192932,Peonidin-3-glucoside,Peo3G,2
B2R2,2,Harvest,0.030975542,Peonidin-3-glucoside,Peo3G,2
B2R2,3,Harvest,0.033640053,Peonidin-3-glucoside,Peo3G,2
B2R2,1,1st point,0.028498194,Peonidin-3-glucoside,Peo3G,2
B2R2,2,1st point,0.023533251,Peonidin-3-glucoside,Peo3G,2
B2R2,3,1st point,0.021788128,Peonidin-3-glucoside,Peo3G,2
B2R2,1,Harvest,0.231720247,Malvidin-3-glucoside,M3G,2
